Vardas                  Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas70                Pavarde70                  10         3         8         4         8         3         3         8         7         2         1         8         9        10         3         8
Vardas71                Pavarde71                  1         8         5        10         7         1         6         7         4         8         8         5         7        10         6         6
Vardas72                Pavarde72                  3         4         6         1         3         4         7         8         2         7        10         8         5         9         9         9
Vardas73                Pavarde73                  2         7         1         6         2         3         7         3         5         4         2         5         5        10         2        10
Vardas74                Pavarde74                  10         8         9         8        10         1         3         2         4         2         1         2         5         7         1         3
Vardas75                Pavarde75                  3         4         2         6         4         5         9         3         4         4         9         9         1         9         5        10
Vardas76                Pavarde76                  3         7         6         1         1         4         6         1         2         9         1         4         8         3         9         7
Vardas77                Pavarde77                  10         9        10         8         8         8         9         9         5         7         4         6         5         6        10         9
Vardas78                Pavarde78                  2         8         1         3         3         1         9         7         2         4         5         9         1         4         9         5
Vardas79                Pavarde79                  3         4         2         9         8         3         3         1        10         9         4         9         4         1         7         3
Vardas80                Pavarde80                  10         4         9        10        10         7         5        10         8         4         3         3         8         8         8         2
Vardas81                Pavarde81                  3         1        10        10         1         6         8         6         3         2         2         9         3         7         7         3
Vardas82                Pavarde82                  3         9        10         3        10         6         5         9        10         6         2         4         8         1         6         4
Vardas83                Pavarde83                  2         8         5         7         6         7         6         5         8         7         1         2         2         9         9         6
Vardas84                Pavarde84                  6         9         2         9         5         4         7         7         4         1        10        10         9         5         8         8
Vardas85                Pavarde85                  5         2         3         9         5         3         1        10         3         8         7         8         8         2         6         5
Vardas86                Pavarde86                  8         2         9         2         5        10        10         9         4         2         7         2         3         5         3         1
Vardas87                Pavarde87                  1        10         3         3        10         6        10         1         9         1         1         1         4         6         1        10
Vardas88                Pavarde88                  3         8        10         9         4         5         2         5         9         6         7         1         6         4         9         3
Vardas89                Pavarde89                  2        10         4         5         1        10        10         2         4         8         9         3         3         6         6         5
Vardas90                Pavarde90                  1         7         5         3         4         2         2         6         5         2         8         7        10         8         4         3
Vardas91                Pavarde91                  2        10         5         8        10        10         1         8         1         2         9         4         8        10         6         5
Vardas92                Pavarde92                  4         7        10        10         3         4         4         5         5         9         9         5         4         9         6         4
Vardas93                Pavarde93                  8         7         3         1         6         9         7         5         3         9         2         1         7         2         4         5
Vardas94                Pavarde94                  4         9         9         8         7        10         5        10         8         8         2         2         8         5         9        10
Vardas95                Pavarde95                  3         8         9         6         2         6         3         5         4         3         3         5         5         3         7         2
Vardas96                Pavarde96                  2         6         9         7         9         7         8        10         8         7        10         6         7        10         6         2
Vardas97                Pavarde97                  3         8         4        10         8         3         1         1         4         9         4         3         4         1        10        10
Vardas98                Pavarde98                  8         1         5         4         3         6         7         7         3        10         4         2         6         9         7         5
Vardas99                Pavarde99                  1         9         8         4         5         8         6         2         7         4         3         9        10         4        10         2
Vardas100               Pavarde100                 8         2         2         5         6        10         5         8         6         3         4         6         9         7         1         7
Vardas101               Pavarde101                 5         5         2         4         3         3         3         4         7         2         7         4         9         7         4         7
Vardas102               Pavarde102                 3         9         3         4         3         1        10         7         4         1         2         3         6         4         6         2
Vardas103               Pavarde103                 3         4         8         8        10        10         5         1         1         1         8         4         5         4         1         5
Vardas104               Pavarde104                 5         1         6         2         4         7         7         1         3         1         6         6         7         4         4         3
Vardas105               Pavarde105                 3         6         4         3         2         1         5         6         6         4         9         2        10         1        10        10
Vardas106               Pavarde106                 8         1         5         9         1        10         4         1         6         7         2         7        10         2         6         7
Vardas107               Pavarde107                 9         3         5         8         3         6         6         1         2         1         4         3         2         1         1         5
Vardas108               Pavarde108                 4         6         7         2         9         7         8         3         3         1         1         5         1        10         3         3
Vardas109               Pavarde109                 5         3         6         4         8         9         5        10        10        10         5         7         1         8         3         1
Vardas110               Pavarde110                 2         9         8         6         9         7         8         6         2         7         4         8         2         2         5         3
Vardas111               Pavarde111                 3         9         5         5         3         4         6         3         2         2         9         3         5         9         9         9
Vardas112               Pavarde112                 10         9         1         3         5         2         1         5         3        10         1         1        10         7        10         6
Vardas113               Pavarde113                 9        10        10         7         1        10         6         1         2         3         9         5         7        10        10         3
Vardas114               Pavarde114                 6         1         9         6         6         4         2         3         2         3         1         3         1         3         9         7
Vardas115               Pavarde115                 6         2         8        10         9         2         2         5         8         5         3        10         9         3         7         9
Vardas116               Pavarde116                 1         2         5         2        10         1         8         6         7         1         2         8         7         7         6         8
Vardas117               Pavarde117                 6         1         9         4         1         5         1         7         4         7         9         7         9         7         7         1
Vardas118               Pavarde118                 1         9        10         6         1         4        10         8        10         3         4         5         4         1         8         2
Vardas119               Pavarde119                 7         4         4         9         1         1         2         1         3         1         2         8         7         8         1         7
Vardas120               Pavarde120                 6        10         4         2         9         7         2         2         3         8         9         7         6         1         2         5
Vardas121               Pavarde121                 5         3         4         9         1         5         4         5         9        10        10         8         5         3         5         7
Vardas122               Pavarde122                 4         3         6         6         2         2         7         1         1         5         5         9         5         8         1         2
Vardas123               Pavarde123                 8        10         6         6         3         1         8         7         9        10         8         6         2        10         6         5
Vardas124               Pavarde124                 1         6         6         3        10         8         6         9         6         3         5         3         9        10         8         8
Vardas125               Pavarde125                 10         6         9         2         4         5         2         4         6         5         7         8         7         3         6         5
Vardas126               Pavarde126                 8         4         9         2        10         9         8         5         5         1         5         7         5         1         8         3
Vardas127               Pavarde127                 1         9        10         8         8         8         3         9         4         8         4         3         4         3         6         1
Vardas128               Pavarde128                 2         1         5         8        10         8         4         4         9         9         6        10         7         6         8         1
Vardas129               Pavarde129                 6         7         4         9         2         2         5         2         9         9         8         5         8         6         2         8
Vardas130               Pavarde130                 9         3         7         5         9         8         1         2         7         1         9         7         8         8         4         7
Vardas131               Pavarde131                 7         9         1         8         2         7         7         1         1         6         2         1         3         2         3         7
Vardas132               Pavarde132                 8         9        10         5         4         2         8         4        10         3         4         8         1        10         9         1
Vardas133               Pavarde133                 6         9         6         9         7         5         1         5         8         2         5         6         5         8         8         1
Vardas134               Pavarde134                 1         8         8         4         3         6         9         7        10         6         5         8         4         2         7         3
Vardas135               Pavarde135                 5        10         2         2         3         5        10         9         3         7         7         2         4         4         9         4
Vardas136               Pavarde136                 6         4         5        10         8        10         1         3         4         5         6         2         5         2         6         9
Vardas137               Pavarde137                 10         8         4         6         6         8         1         1         6         3         7         8         2        10         1         4
Vardas138               Pavarde138                 9         1        10         7        10         2         7         5         5         8         7        10         9         8         9         2
Vardas139               Pavarde139                 9         7         9         4         5        10        10         8         4         3         2         5         9         1        10         2
Vardas140               Pavarde140                 6         4         7         7        10         3         4        10         5         9         5         1         3         6         5         6
Vardas141               Pavarde141                 8         4         2         5         4         9        10         1         3         4         7         3         7         3         8         5
Vardas142               Pavarde142                 9         3         5         2         6        10         1        10         9        10         5         2         7         5        10        10
Vardas143               Pavarde143                 9         3         8         2        10         1         1         1        10         4         9        10         3         1         6         4
Vardas144               Pavarde144                 1        10         3         6         5        10         1         1         1        10         5         1         2         3         2         3
Vardas145               Pavarde145                 8         4         2         3         1         7         2         8         3         3         1         4         5         1         8         4
Vardas146               Pavarde146                 6         5        10         8         3         5         5         4         1         6         6         4        10         4        10         2
Vardas147               Pavarde147                 6         2         4         8         6         1         9         8         6         4        10         7         7         9        10         1
Vardas148               Pavarde148                 1         7         9         1         2         2         6         2         6         3         2         6         3         2         4         7
Vardas149               Pavarde149                 9         2         7         6         5         7         3         4         8         1         6         5         1         8         6         3
Vardas150               Pavarde150                 3         3         1         6        10         1         7         2         6         6         5         6         1         2         7         2
Vardas151               Pavarde151                 9         4         1         6         8         8         5         9         3         8         2         2         9         8         9         9
Vardas152               Pavarde152                 10         5         1         9         3         2        10        10         6         6         9         7         6         6         6         7
Vardas153               Pavarde153                 10         4         8         4         3         5         5         4         8         7         8         8         1         5         1        10
Vardas154               Pavarde154                 8         1        10        10         3         6         2         8         6         6         8         4         8        10         4         4
Vardas155               Pavarde155                 4        10         3         3        10        10         9         5         9         3         6         7         3         4         5         4
Vardas156               Pavarde156                 1         1         6         4         8         9         8         2         3         7         9         1         9         7         4         3
Vardas157               Pavarde157                 7        10         9         3         2         9         2         6         3         2         1         5         2         4         9         5
Vardas158               Pavarde158                 1         2         6         2         4         9         1         6         5         8         8         2         9         4         1         6
Vardas159               Pavarde159                 7         3        10         5         1         5         6         5         4         8         4        10         3         3         4         6
Vardas160               Pavarde160                 7         9         7         4         2         4         2         2        10         1        10         8         3         5         4         1
Vardas161               Pavarde161                 3         8         1         2        10         8         8        10        10         4         3         2         8         7         7         1
Vardas162               Pavarde162                 1        10         6         1        10         1         6         2         6         2         4         4         3         6         5         8
Vardas163               Pavarde163                 3         3        10         4         9         8         3         9         6         7        10         6         6         8         9         4
Vardas164               Pavarde164                 8         5         6         6         1         7         2        10         5         7         4         4         7         2         3         2
Vardas165               Pavarde165                 3         8        10         6         5         7         8         2         5         3         4         1         7         2         3         5
Vardas166               Pavarde166                 10        10        10         4         2         4         8         6         2         1         8         5         1         1         6         8
Vardas167               Pavarde167                 1         5         3         7         6         4         4         9         7         8         9         2         9         8         8         1
Vardas168               Pavarde168                 8         1         3         5         3         8         5         2         8         1         6         8         9         9         4         7
Vardas169               Pavarde169                 7         9         4         8         4         4         4         8         5         9         8         3         4         5         5         7
Vardas170               Pavarde170                 8         1         7         1         6         2         3         6         3         3         4         9         7         2         3         7
Vardas171               Pavarde171                 3         5         2         7         4         5         1         4         3         2         1         2         9         3         2         5
Vardas172               Pavarde172                 8         7         9         7         6         2         2         2         2         5         1         3         1         7         7         8
Vardas173               Pavarde173                 1         1        10         6         6         3         4        10         8         5         2         4         4         2         8         2
Vardas174               Pavarde174                 3         3         5        10         3        10         5         3         5         3        10         1         4         3         3         3
Vardas175               Pavarde175                 7         1         5         2         9         8         5         7         4         3         2        10         8         3         8         1
Vardas176               Pavarde176                 5         9         9         9        10         5         7         8         4         4         3         1         2         8         4         7
Vardas177               Pavarde177                 7         3         7         6         9         5         9         1         7         4        10         4         1         4         1         2
Vardas178               Pavarde178                 5         8        10        10         1         9         4         3         1         7         5         3         1         8         3        10
Vardas179               Pavarde179                 10        10         1         2         7         6         8         2         3         8         2         5        10         9        10         8
Vardas180               Pavarde180                 4         8         7         6         9         2         8         5         8         3         6         4        10         3         6         9
Vardas181               Pavarde181                 4         4         7         1         7         5         6         3         3         2        10         8         7         5        10         1
Vardas182               Pavarde182                 6         5         8         7        10         5        10         9         3         3         2         1         1         4         8         3
Vardas183               Pavarde183                 9         7         1         8         1         5         1         7         3         6         7         9         8         8         4         4
Vardas184               Pavarde184                 3         8         3         6         2         8         6         1         3         2         3         3         8         4         2         4
Vardas185               Pavarde185                 9        10         6         1         3         9         5         1         9         5         3         1         1         8         6         4
Vardas186               Pavarde186                 1         5         1         6         7         7         3         6         6         7         1         1         9         7         9         3
Vardas187               Pavarde187                 8         8         7         1         5         5         5         5         8         3         9         1         6         4         3         5
Vardas188               Pavarde188                 10         1        10         3         4         9         8         4         9         5         1         9         1         1         4         3
Vardas189               Pavarde189                 8         7         5         1        10         5         2         3         6         8         2         1         4         3         9         2
Vardas190               Pavarde190                 6         8         1        10         5         1         4         6         1         1         9         5         2        10         8        10
Vardas191               Pavarde191                 3         3         5         7        10         6         3         3         5         7         3         6         5         6         2         6
Vardas192               Pavarde192                 1         2         6         5         3         3         8         9         6         9         4         6         1         7         6         1
Vardas193               Pavarde193                 6         5         5        10        10         2         2         7         7         4         5         7         7         4         3         9
Vardas194               Pavarde194                 8         4         5         9         7         9         1         5         8         5         9         9         6        10         2         7
Vardas195               Pavarde195                 1         7         7        10         6         9         6         5         4         7         9         8         1         4         5         3
Vardas196               Pavarde196                 7        10         8         7         1         2         8         1        10         5         6         2         8         3         3         8
Vardas197               Pavarde197                 6         3         2         4         5         5        10         5         2         7         4         7         9         5        10         9
Vardas198               Pavarde198                 6         4         3         3         6         6         9         6         7         2         3         4         2         5         2         6
Vardas199               Pavarde199                 6         7         4         9         9         1         5         5         5         6         2         1         7         6        10         6
Vardas200               Pavarde200                 1         3         1         8         1         5         3         8         1         7         9         6        10        10         2         6
Vardas201               Pavarde201                 9         4         4         3         8         8         6         7         4         4         8         7         5         6         2         5
Vardas202               Pavarde202                 2         9         3         1         1         5         2         4         7         2         3         6        10         5         2         3
Vardas203               Pavarde203                 9         9         7         3         7         4         2         2         5         4         3         6         6         5         8         5
Vardas204               Pavarde204                 3        10         1        10         3         5         4         6         9         7         1         1         9        10         9         8
Vardas205               Pavarde205                 2         9         7         1         6         3         8         7         2         7         2         8         2         5         3         2
Vardas206               Pavarde206                 4         9         4         8         9         7         6         1         1         8         9         2         5         7         6         4
Vardas207               Pavarde207                 3         7        10        10         2         5         8         9         7         7        10         2         7        10         5         8
Vardas208               Pavarde208                 9         5         4         2         2         3         7         2         1         2         4         5         1         1         8         7
Vardas209               Pavarde209                 6         4         3         9         3         5         7         8         2         6        10         7         2         7         2        10
Vardas210               Pavarde210                 1         2         7         8        10         7         9         3         1         6         8         4         7         4         8         1
Vardas211               Pavarde211                 2         5         2         5        10         4         8        10         5         6         9         1         1         1         5         1
Vardas212               Pavarde212                 10        10         8         8         3         5         8         5         7         3         6         8         8         9         8         3
Vardas213               Pavarde213                 9         5         4         2         9         1        10         2         2         1         9         1         6         8         3         5
Vardas214               Pavarde214                 5         5         8         5         3         8         1         3         1         2         7         4        10         2         9         2
Vardas215               Pavarde215                 6         3         6         4         6         1         8         3         1         3         1         3         7         8         6         3
Vardas216               Pavarde216                 7         3         9         6         2         7         8         5         7         2         6         3         9         1         2         8
Vardas217               Pavarde217                 8         5         8         1         3         9         9         4         6         8         5         8         6         3         6         8
Vardas218               Pavarde218                 6         1         6         2         4         3         4         5         6         6        10         2         3         9         6         8
Vardas219               Pavarde219                 8         9         4         7         6         8         4         1         6         8         3         8         7         2         8         2
Vardas220               Pavarde220                 4         8         1         2         7         8         5         7         2         5         3         9         5         4         8         7
Vardas221               Pavarde221                 3         6         8         6         2         3         9         2         5         1         2         8        10         1         8         6
