Vardas                  Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas83                Pavarde83                  1         2         2         2         5         5         6         6         7         7         7         8         8         9         9         6         
Vardas84                Pavarde84                  1         2         4         4         5         5         6         7         7         8         9         9         9        10        10         8         
Vardas85                Pavarde85                  1         2         2         3         3         3         5         5         6         7         8         8         8         9        10         5         
Vardas87                Pavarde87                  1         1         1         1         1         1         3         3         4         6         6         9        10        10        10        10         
Vardas89                Pavarde89                  1         2         2         3         3         4         4         5         6         6         8         9        10        10        10         5         
Vardas91                Pavarde91                  1         1         2         2         4         5         6         8         8         8         9        10        10        10        10         5         
Vardas92                Pavarde92                  3         4         4         4         4         5         5         5         6         7         9         9         9        10        10         4         
Vardas93                Pavarde93                  1         1         2         2         3         3         4         5         6         7         7         7         8         9         9         5         
Vardas94                Pavarde94                  2         2         4         5         5         7         8         8         8         8         9         9         9        10        10        10         
Vardas97                Pavarde97                  1         1         1         3         3         3         4         4         4         4         8         8         9        10        10        10         
Vardas98                Pavarde98                  1         2         3         3         4         4         5         6         6         7         7         7         8         9        10         5         
Vardas100               Pavarde100                 1         2         2         3         4         5         5         6         6         6         7         8         8         9        10         7         
Vardas101               Pavarde101                 2         2         3         3         3         4         4         4         4         5         5         7         7         7         9         7         
Vardas103               Pavarde103                 1         1         1         1         3         4         4         4         5         5         8         8         8        10        10         5         
Vardas105               Pavarde105                 1         1         2         2         3         3         4         4         5         6         6         6         9        10        10        10         
Vardas106               Pavarde106                 1         1         1         2         2         4         5         6         6         7         7         8         9        10        10         7         
Vardas111               Pavarde111                 2         2         3         3         3         3         4         5         5         5         6         9         9         9         9         9         
Vardas112               Pavarde112                 1         1         1         1         2         3         3         5         5         7         9        10        10        10        10         6         
Vardas114               Pavarde114                 1         1         1         2         2         3         3         3         3         4         6         6         6         9         9         7         
Vardas115               Pavarde115                 2         2         2         3         3         5         5         6         7         8         8         9         9        10        10         9         
Vardas116               Pavarde116                 1         1         1         2         2         2         5         6         6         7         7         7         8         8        10         8         
Vardas119               Pavarde119                 1         1         1         1         1         2         2         3         4         4         7         7         8         8         9         7         
Vardas120               Pavarde120                 1         2         2         2         2         3         4         6         6         7         7         8         9         9        10         5         
Vardas121               Pavarde121                 1         3         3         4         4         5         5         5         5         5         8         9         9        10        10         7         
Vardas123               Pavarde123                 1         2         3         6         6         6         6         7         8         8         8         9        10        10        10         5         
Vardas124               Pavarde124                 1         3         3         3         5         6         6         6         6         8         8         9         9        10        10         8         
Vardas125               Pavarde125                 2         2         3         4         4         5         5         6         6         6         7         7         8         9        10         5         
Vardas129               Pavarde129                 2         2         2         2         4         5         5         6         6         7         8         8         9         9         9         8         
Vardas130               Pavarde130                 1         1         2         3         4         5         7         7         7         8         8         8         9         9         9         7         
Vardas131               Pavarde131                 1         1         1         1         2         2         2         3         3         6         7         7         7         8         9         7         
Vardas136               Pavarde136                 1         2         2         3         4         4         5         5         5         6         6         6         8        10        10         9         
Vardas140               Pavarde140                 1         3         3         4         4         5         5         5         6         6         7         7         9        10        10         6         
Vardas141               Pavarde141                 1         2         3         3         3         4         4         4         5         7         7         8         8         9        10         5         
Vardas142               Pavarde142                 1         2         2         3         5         5         5         6         7         9         9        10        10        10        10        10         
Vardas148               Pavarde148                 1         1         2         2         2         2         2         3         3         4         6         6         6         7         9         7         
Vardas151               Pavarde151                 1         2         2         3         4         5         6         8         8         8         8         9         9         9         9         9         
Vardas152               Pavarde152                 1         2         3         5         6         6         6         6         6         7         9         9        10        10        10         7         
Vardas153               Pavarde153                 1         1         3         4         4         4         5         5         5         7         8         8         8         8        10        10         
Vardas154               Pavarde154                 1         2         3         4         4         6         6         6         8         8         8         8        10        10        10         4         
Vardas157               Pavarde157                 1         2         2         2         2         3         3         4         5         6         7         9         9         9        10         5         
Vardas158               Pavarde158                 1         1         1         2         2         2         4         4         5         6         6         8         8         9         9         6         
Vardas159               Pavarde159                 1         3         3         3         4         4         4         5         5         5         6         7         8        10        10         6         
Vardas162               Pavarde162                 1         1         1         2         2         3         4         4         5         6         6         6         6        10        10         8         
Vardas163               Pavarde163                 3         3         3         4         6         6         6         7         8         8         9         9         9        10        10         4         
Vardas165               Pavarde165                 1         2         2         3         3         3         4         5         5         6         7         7         8         8        10         5         
Vardas166               Pavarde166                 1         1         1         2         2         4         4         5         6         6         8         8        10        10        10         8         
Vardas168               Pavarde168                 1         1         2         3         3         4         5         5         6         8         8         8         8         9         9         7         
Vardas169               Pavarde169                 3         4         4         4         4         4         5         5         5         7         8         8         8         9         9         7         
Vardas170               Pavarde170                 1         1         2         2         3         3         3         3         4         6         6         7         7         8         9         7         
Vardas172               Pavarde172                 1         1         2         2         2         2         3         5         6         7         7         7         7         8         9         8         
Vardas176               Pavarde176                 1         2         3         4         4         4         5         5         7         8         8         9         9         9        10         7         
Vardas178               Pavarde178                 1         1         1         3         3         3         4         5         5         7         8         8         9        10        10        10         
Vardas179               Pavarde179                 1         2         2         2         3         5         6         7         8         8         9        10        10        10        10         8         
Vardas180               Pavarde180                 2         3         3         4         4         5         6         6         6         7         8         8         8         9        10         9         
Vardas187               Pavarde187                 1         1         3         3         4         5         5         5         5         6         7         8         8         8         9         5         
Vardas190               Pavarde190                 1         1         1         1         2         4         5         5         6         6         8         8         9        10        10        10         
Vardas191               Pavarde191                 2         3         3         3         3         3         5         5         5         6         6         6         7         7        10         6         
Vardas193               Pavarde193                 2         2         3         4         4         5         5         5         6         7         7         7         7        10        10         9         
Vardas194               Pavarde194                 1         2         4         5         5         5         6         7         8         8         9         9         9         9        10         7         
Vardas196               Pavarde196                 1         1         2         2         3         3         5         6         7         7         8         8         8        10        10         8         
Vardas197               Pavarde197                 2         2         3         4         4         5         5         5         5         6         7         7         9        10        10         9         
Vardas198               Pavarde198                 2         2         2         3         3         3         4         4         5         6         6         6         6         7         9         6         
Vardas199               Pavarde199                 1         1         2         4         5         5         5         6         6         6         7         7         9         9        10         6         
Vardas200               Pavarde200                 1         1         1         1         2         3         3         5         6         7         8         8         9        10        10         6         
Vardas201               Pavarde201                 2         3         4         4         4         4         5         6         6         7         7         8         8         8         9         5         
Vardas203               Pavarde203                 2         2         3         3         4         4         5         5         6         6         7         7         8         9         9         5         
Vardas204               Pavarde204                 1         1         1         3         3         4         5         6         7         9         9         9        10        10        10         8         
Vardas207               Pavarde207                 2         2         3         5         5         7         7         7         7         8         9        10        10        10        10         8         
Vardas208               Pavarde208                 1         1         1         2         2         2         2         3         4         4         5         5         7         8         9         7         
Vardas209               Pavarde209                 2         2         2         3         3         4         5         6         6         7         7         7         8         9        10        10         
Vardas213               Pavarde213                 1         1         1         2         2         2         3         4         5         6         8         9         9         9        10         5         
Vardas216               Pavarde216                 1         2         2         2         3         3         5         6         6         7         7         7         8         9         9         8         
Vardas217               Pavarde217                 1         3         3         4         5         5         6         6         6         8         8         8         8         9         9         8         
Vardas218               Pavarde218                 1         2         2         3         3         4         4         5         6         6         6         6         6         9        10         8         
Vardas220               Pavarde220                 1         2         2         3         4         4         5         5         5         7         7         8         8         8         9         7         
Vardas221               Pavarde221                 1         1         2         2         2         3         3         5         6         6         8         8         8         9        10         6         
Vardas222               Pavarde222                 3         3         4         4         4         4         6         6         6         7         7         8         8         9        10         9         
Vardas225               Pavarde225                 1         2         2         2         3         3         4         5         6         6         7         7         7         8         9         9         
Vardas227               Pavarde227                 1         1         1         2         4         4         4         5         6         6         7         7         8         9         9         7         
Vardas228               Pavarde228                 2         2         2         3         3         4         4         4         5         5         6         9         9         9        10        10         
Vardas230               Pavarde230                 1         1         1         1         3         3         4         5         5         5         8         9         9        10        10         9         
Vardas231               Pavarde231                 1         2         3         3         4         4         5         5         5         6         7         8         8         9         9        10         
Vardas232               Pavarde232                 1         2         2         3         3         3         3         5         6         6         6         7         8         9        10         8         
Vardas233               Pavarde233                 1         1         3         3         4         4         5         6         6         7         8         8        10        10        10         9         
Vardas234               Pavarde234                 1         3         3         3         4         5         5         5         6         6         7         7         7         8         9         8         
Vardas235               Pavarde235                 2         3         3         3         5         5         7         7         8         8         8         9        10        10        10         8         
Vardas236               Pavarde236                 1         2         2         3         3         5         5         5         7         7         7         7         7         9         9         8         
Vardas237               Pavarde237                 1         2         3         4         5         6         7         7         8         9         9         9         9        10        10         4         
Vardas238               Pavarde238                 1         1         1         1         2         2         4         6         7         7         8         9         9        10        10        10         
Vardas239               Pavarde239                 1         1         1         1         3         4         5         5         7         7         7         8         8        10        10         7         
Vardas240               Pavarde240                 1         1         1         1         2         2         5         5         8         8         9        10        10        10        10         8         
Vardas241               Pavarde241                 1         3         4         4         5         6         7         7         7         7         7         8         9         9         9         6         
Vardas242               Pavarde242                 1         1         4         4         4         6         7         8         8         8         8         8         9         9        10         6         
Vardas243               Pavarde243                 3         5         5         5         5         6         7         7         7         7         7         7         9        10        10         4         
Vardas244               Pavarde244                 1         2         2         2         4         5         6         7         8         9        10        10        10        10        10         6         
Vardas246               Pavarde246                 1         1         2         4         4         5         5         5         7         7         7         8        10        10        10        10         
Vardas248               Pavarde248                 2         3         4         4         4         6         7         7         7         7         7         8         9         9        10        10         
Vardas250               Pavarde250                 1         2         3         4         5         5         5         5         5         7         7         8         8         8         9         8         
Vardas253               Pavarde253                 1         2         4         4         5         5         6         7         8         9         9         9         9        10        10         8         
Vardas254               Pavarde254                 1         2         3         4         4         5         6         6         7         7         7         8         8         9         9         8         
Vardas255               Pavarde255                 1         1         1         2         2         3         3         4         4         6         6         7         8         9        10         6         
Vardas256               Pavarde256                 3         3         3         3         4         4         4         6         8         8         9         9        10        10        10        10         
Vardas258               Pavarde258                 1         1         2         4         4         5         5         5         5         8         8         9         9         9        10         6         
Vardas259               Pavarde259                 2         2         2         3         6         6         6         6         6         7         8         9         9         9        10        10         
Vardas260               Pavarde260                 2         3         4         6         6         6         7         7         7         7         8         9        10        10        10         9         
Vardas261               Pavarde261                 1         1         1         4         5         6         6         7         7         7         8         9         9        10        10         8         
Vardas262               Pavarde262                 1         1         2         2         3         4         5         6         7         7         7         8         8         9        10         6         
Vardas266               Pavarde266                 2         2         3         4         4         5         6         6         6         7         8         8         9        10        10         5         
Vardas267               Pavarde267                 1         2         3         3         3         4         6         8         8         9         9         9        10        10        10         5         
Vardas269               Pavarde269                 1         1         2         2         2         2         2         4         5         5         5         6         7         9         9         8         
Vardas271               Pavarde271                 1         2         3         3         4         5         5         5         7         7         8         8         8         9        10         7         
Vardas272               Pavarde272                 2         2         2         3         3         4         5         5         6         7         7         7         9        10        10         8         
Vardas273               Pavarde273                 1         1         2         2         3         4         5         6         6         6         6         7         8         9         9        10         
Vardas277               Pavarde277                 1         1         2         2         2         3         4         5         5         6         6         6         8         8         9         6         
Vardas278               Pavarde278                 1         1         2         2         3         4         4         5         5         6         8         9         9        10        10         9         
Vardas279               Pavarde279                 1         1         1         4         4         4         5         5         6         6         6         6         9        10        10         9         
Vardas282               Pavarde282                 2         2         2         2         2         3         6         6         7         7         7         9         9        10        10         5         
Vardas284               Pavarde284                 2         2         3         3         3         4         5         6         7         7         8         9         9         9         9         6         
Vardas285               Pavarde285                 1         1         2         3         3         3         5         5         5         6         7         8         8         9        10         8         
Vardas286               Pavarde286                 1         1         2         3         4         5         5         6         6         7         8         8         8         8        10         8         
Vardas287               Pavarde287                 1         2         3         3         4         4         4         4         5         5         7         7         8         8        10         5         
Vardas288               Pavarde288                 1         3         4         4         4         4         5         5         6         8         8         8         9         9        10        10         
Vardas290               Pavarde290                 1         2         2         4         4         5         6         6         6         7         9         9        10        10        10         9         
Vardas291               Pavarde291                 1         3         3         5         5         6         6         7         7         7         8         8         8         9        10         5         
Vardas294               Pavarde294                 2         2         2         2         3         4         5         7         7         7         8         8         9         9        10         6         
Vardas296               Pavarde296                 1         2         2         3         3         4         5         6         6         7         8         9        10        10        10         9         
Vardas297               Pavarde297                 1         1         1         3         3         4         4         4         5         5         6         8         8        10        10         7         
Vardas299               Pavarde299                 1         1         2         2         4         5         6         6         6         6         7         8         9        10        10         6         
Vardas301               Pavarde301                 1         2         2         2         5         5         5         6         6         7         9         9         9        10        10         6         
Vardas303               Pavarde303                 1         1         2         3         3         4         5         5         5         6         6         8         9        10        10         8         
Vardas304               Pavarde304                 1         1         1         3         3         3         4         4         4         4         5         5         6         9        10        10         
Vardas305               Pavarde305                 2         2         3         4         5         5         5         6         7         7         7         8         9        10        10         7         
Vardas307               Pavarde307                 1         3         4         5         5         6         6         8         8         8         9         9         9        10        10         9         
Vardas308               Pavarde308                 1         1         1         1         1         1         1         2         2         6         7         8         9        10        10        10         
Vardas310               Pavarde310                 1         2         2         3         6         6         6         6         7         7         9         9         9        10        10         6         
Vardas311               Pavarde311                 1         2         2         2         3         3         4         5         5         7         8         9         9        10        10         7         
Vardas312               Pavarde312                 1         1         1         2         3         4         4         4         5         7         7         7         9        10        10         7         
Vardas314               Pavarde314                 3         3         4         5         6         6         6         6         8         8         9         9         9         9        10         6         
Vardas315               Pavarde315                 1         1         3         3         3         5         5         7         7         7         8         9        10        10        10         8         
Vardas317               Pavarde317                 1         1         2         2         2         2         2         3         3         4         6         7         8         8        10         6         
Vardas318               Pavarde318                 1         5         5         5         6         7         7         7         7         8         8         9         9         9        10         9         
Vardas319               Pavarde319                 1         1         2         4         4         5         8         8         9         9         9        10        10        10        10         8         
Vardas320               Pavarde320                 1         1         1         1         1         2         2         2         3         4         7         7         9         9         9         8         
Vardas321               Pavarde321                 2         2         3         3         4         5         6         6         6         6         7         7         9         9         9         6         
Vardas322               Pavarde322                 1         1         2         3         3         3         4         5         6         7         8         8         9         9         9         9         
Vardas324               Pavarde324                 1         1         3         3         4         5         6         6         6         7         7         8         9        10        10         5         
Vardas325               Pavarde325                 1         1         1         3         3         3         4         4         5         5         6         7         8         8        10         8         
Vardas328               Pavarde328                 2         2         2         4         4         5         5         6         6         7         7         8         8         8         9         9         
Vardas330               Pavarde330                 1         2         4         4         4         4         4         5         6         7         8         8         9         9         9        10         
Vardas332               Pavarde332                 1         1         1         2         3         5         5         8         9         9         9         9         9        10        10         9         
Vardas333               Pavarde333                 2         3         4         5         5         5         6         6         7         7         9         9         9        10        10         7         
Vardas334               Pavarde334                 2         2         2         3         3         4         4         4         5         5         7         8         8         9        10        10         
Vardas335               Pavarde335                 1         2         2         3         5         6         7         7         7         9         9        10        10        10        10         7         
Vardas336               Pavarde336                 1         1         2         2         3         3         4         5         5         6         6         7         8         9         9         9         
Vardas337               Pavarde337                 1         2         2         3         4         5         6         6         6         7         8         9         9        10        10         9         
Vardas338               Pavarde338                 1         1         1         2         2         3         3         4         5         6         6         8         8         9        10         6         
Vardas339               Pavarde339                 1         2         3         5         6         7         7         8         8         8         8         8         9        10        10        10         
Vardas340               Pavarde340                 1         1         1         2         6         7         8         8         9         9         9         9         9        10        10         8         
Vardas341               Pavarde341                 1         1         1         2         2         3         3         5         5         5         6         6         6         7         9         8         
Vardas343               Pavarde343                 2         3         3         4         4         5         5         6         6         7         7         8         9         9        10         8         
Vardas345               Pavarde345                 1         2         2         3         3         3         5         5         7         7         7         8        10        10        10         5         
Vardas347               Pavarde347                 1         2         3         4         5         5         6         7         7         8         8         9         9        10        10         5         
Vardas348               Pavarde348                 2         2         2         3         3         3         3         3         3         4         5         8         8         9        10         9         
Vardas351               Pavarde351                 1         3         5         5         5         5         6         7         7         8         8         8         9         9        10        10         
Vardas352               Pavarde352                 1         1         1         2         3         3         3         4         5         5         7         7         9        10        10         7         
Vardas354               Pavarde354                 2         2         3         3         3         4         4         4         4         6         7         8         9         9        10         8         
Vardas359               Pavarde359                 1         1         2         2         3         4         4         7         7         8         9         9         9         9        10         8         
Vardas362               Pavarde362                 1         1         2         3         5         5         5         7         7         7         8         8         9         9        10         9         
Vardas365               Pavarde365                 1         2         2         3         4         4         4         4         5         6         7         8         8         8         9         9         
Vardas366               Pavarde366                 1         2         2         2         3         3         4         5         5         5         7         8         9         9        10         5         
Vardas367               Pavarde367                 1         2         2         3         3         5         6         7         7         8         9         9         9         9        10        10         
Vardas372               Pavarde372                 1         1         2         2         4         4         4         5         6         6         7         8         9         9         9         5         
Vardas373               Pavarde373                 1         1         3         4         5         5         8         8         8         8         9         9         9        10        10         8         
Vardas374               Pavarde374                 1         3         3         3         6         6         7         8         8         8         8         9         9        10        10         9         
Vardas376               Pavarde376                 1         1         1         2         4         4         4         5         6         7         8         9         9         9        10         5         
Vardas377               Pavarde377                 1         2         2         3         3         3         4         4         4         4         4         5         6         7         9         7         
Vardas378               Pavarde378                 1         1         2         3         3         4         5         7         8         9         9         9         9         9        10         5         
Vardas381               Pavarde381                 1         3         3         4         5         7         8         8         8         8         9         9         9        10        10         5         
Vardas382               Pavarde382                 1         2         3         3         3         4         4         4         5         6         7         7         9         9         9        10         
Vardas383               Pavarde383                 1         1         3         4         4         4         5         8         8         8         8         8         9        10        10         5         
Vardas384               Pavarde384                 1         1         1         1         1         2         2         3         4         5         8         8         9         9        10         7         
Vardas386               Pavarde386                 1         1         1         2         4         4         4         4         6         7         7         7         8        10        10         5         
Vardas387               Pavarde387                 1         3         4         4         4         4         4         4         5         5         5         5         7         9        10         7         
Vardas388               Pavarde388                 2         3         3         4         4         4         5         5         5         6         6         7         8         9         9         6         
Vardas389               Pavarde389                 1         1         2         2         3         3         3         4         5         6         6         7         8         8        10         8         
Vardas390               Pavarde390                 1         1         2         2         2         4         5         6         6         7         7         7         8         8        10         7         
Vardas391               Pavarde391                 1         4         4         5         5         5         6         6         7         8         9         9         9        10        10         4         
Vardas392               Pavarde392                 1         1         2         3         3         3         4         4         5         7         8         8         9         9        10         6         
Vardas393               Pavarde393                 1         1         1         2         2         4         6         7         7         7         8         9         9         9         9        10         
Vardas394               Pavarde394                 1         1         2         2         3         3         3         4         4         4         5         8         8         9         9         8         
Vardas395               Pavarde395                 1         1         2         3         5         5         6         7         8         8         8         9         9        10        10        10         
Vardas396               Pavarde396                 1         3         5         5         5         5         5         7         7         7         8         8         9        10        10         4         
Vardas397               Pavarde397                 1         2         2         3         3         4         4         4         6         8         9         9         9        10        10         5         
Vardas398               Pavarde398                 1         2         3         3         3         3         4         7         8         9         9         9         9         9        10         6         
Vardas400               Pavarde400                 1         1         3         5         6         7         7         8         8         9         9         9        10        10        10         9         
Vardas403               Pavarde403                 1         2         2         2         2         3         3         4         4         5         5         6         9        10        10         8         
Vardas404               Pavarde404                 1         4         5         6         7         7         7         7         7         7         9         9         9        10        10         7         
Vardas410               Pavarde410                 1         1         2         2         5         5         6         7         7         9         9        10        10        10        10         4         
Vardas411               Pavarde411                 1         1         2         3         3         4         5         5         6         7         7         7         7         8        10         9         
Vardas412               Pavarde412                 1         1         2         3         3         3         4         5         5         5         6         7         7         8        10         7         
Vardas413               Pavarde413                 2         3         4         4         6         7         7         8         8         8         9         9         9        10        10         5         
Vardas414               Pavarde414                 1         2         4         4         5         6         6         8         9         9        10        10        10        10        10         9         
Vardas415               Pavarde415                 1         2         2         2         3         3         3         4         5         6         7         7         9        10        10         8         
Vardas416               Pavarde416                 1         1         1         3         4         4         5         5         5         6         7         7         7         8        10         7         
Vardas417               Pavarde417                 2         4         6         6         7         7         8         8         9         9         9         9        10        10        10         8         
Vardas418               Pavarde418                 1         2         2         2         3         3         4         5         6         6         6         7         8        10        10        10         
Vardas420               Pavarde420                 1         1         2         2         3         3         6         6         6         7         8         9         9        10        10         6         
Vardas421               Pavarde421                 1         2         4         4         4         5         6         7         7         7         8         9        10        10        10         5         
Vardas422               Pavarde422                 1         1         1         2         2         2         4         4         5         7         7         8         8         9         9         5         
Vardas423               Pavarde423                 1         1         1         1         2         2         3         4         4         5         6         7         7         9        10         7         
Vardas426               Pavarde426                 1         2         2         4         4         5         6         7         8         8         8         8         9         9        10         8         
Vardas427               Pavarde427                 1         1         2         3         3         4         4         4         6         6         6         6         7         9        10         9         
Vardas428               Pavarde428                 1         2         3         5         5         6         7         7         7         8         9         9        10        10        10         6         
Vardas431               Pavarde431                 1         2         4         4         5         5         6         7         8         9         9         9        10        10        10         7         
Vardas433               Pavarde433                 1         1         2         2         2         2         3         4         5         6         7         8         9        10        10         5         
Vardas436               Pavarde436                 2         3         3         4         4         6         6         7         7         7         7         7         7         9        10         9         
Vardas438               Pavarde438                 1         1         3         4         5         5         5         7         7         7         8         8        10        10        10         9         
Vardas440               Pavarde440                 1         2         3         3         5         6         6         7         7         8         8         9        10        10        10        10         
Vardas441               Pavarde441                 1         2         2         2         2         2         4         5         6         6         8         9         9        10        10         7         
Vardas442               Pavarde442                 1         1         3         4         4         5         5         5         5         6         6         6         9         9        10         7         
Vardas443               Pavarde443                 1         3         6         7         7         7         8         8         8         9         9         9         9        10        10         5         
Vardas444               Pavarde444                 1         2         2         2         3         3         4         5         5         7         7         9         9         9        10         7         
Vardas445               Pavarde445                 1         1         2         2         3         3         6         6         6         7         7         7         8         8        10         5         
Vardas446               Pavarde446                 1         2         2         2         3         3         4         5         5         6         6         7         7         8         9         8         
Vardas449               Pavarde449                 1         1         4         5         5         5         6         7         7         7         8         9         9        10        10         8         
Vardas451               Pavarde451                 1         3         3         5         5         5         5         6         6         7         8         9         9        10        10         7         
Vardas454               Pavarde454                 1         1         2         2         2         3         3         3         3         4         4         8         9        10        10         8         
Vardas455               Pavarde455                 3         5         6         6         6         6         7         7         9        10        10        10        10        10        10        10         
Vardas458               Pavarde458                 1         1         2         2         4         5         6         7         7         7         7         8         8         9        10         7         
Vardas460               Pavarde460                 1         1         2         2         2         3         7         8         9         9        10        10        10        10        10         5         
Vardas461               Pavarde461                 2         2         2         3         3         3         4         5         5         6         6         6         6         8         9         5         
Vardas462               Pavarde462                 1         1         1         2         3         4         4         4         4         5         7         8         8         9        10         7         
Vardas464               Pavarde464                 1         2         2         2         4         4         4         5         6         8         8         8         8         9         9        10         
Vardas468               Pavarde468                 2         3         3         4         4         5         5         6         7         7         7         9         9         9        10        10         
Vardas469               Pavarde469                 2         4         4         4         4         5         5         6         7         7         7         7         7         9        10         7         
Vardas471               Pavarde471                 1         1         1         3         3         5         5         6         6         6         8         9         9         9        10         9         
Vardas472               Pavarde472                 2         2         3         4         5         5         5         5         5         6         8         8         9        10        10         6         
Vardas474               Pavarde474                 1         1         2         3         4         4         4         5         6         6         7         8        10        10        10         5         
Vardas476               Pavarde476                 1         1         3         3         3         5         5         5         6         6         6         7         7         8         9        10         
Vardas478               Pavarde478                 1         2         3         3         6         7         7         8         8         9         9        10        10        10        10         8         
Vardas479               Pavarde479                 1         2         2         2         2         2         6         6         6         6         7         8         9        10        10        10         
Vardas483               Pavarde483                 3         3         4         5         5         6         7         8         8         9         9         9        10        10        10         6         
Vardas485               Pavarde485                 1         1         2         3         3         4         4         5         5         8         8         8         8         8         9         7         
Vardas486               Pavarde486                 2         2         2         5         6         6         6         6         7         8         9         9         9        10        10         7         
Vardas487               Pavarde487                 1         3         3         5         5         5         5         5         6         7         8         8         8         9         9         9         
Vardas488               Pavarde488                 1         1         1         2         4         5         5         5         5         6         6         7         9         9        10         5         
